asv	T.0.Dry.Soil.A	T.0.Dry.Soil.B	T.1.H218O.A	T.1.H218O.B	T.1.H218O.C	T.1.H218O.P.A	T.1.H218O.P.B	T.1.H218O.P.C	T.1.H2O.A	T.1.H2O.B	T.1.H2O.C	T.1.H2O.P.A	T.1.H2O.P.B	T.1.H2O.P.C	T.2.H218O.A	T.2.H218O.B	T.2.H218O.C	T.2.H218O.P.B	T.2.H218O.P.C	T.2.H2O.A	T.2.H2O.B	T.2.H2O.C	T.2.H2O.P.A	T.2.H2O.P.B	T.2.H2O.P.C	T.3.H218O.B	T.3.H218O.C	T.3.H218O.P.A	T.3.H218O.P.B	T.3.H218O.P.C	superkingdom	phylum	class	order	family	genus	species
36dab8d063771db8cedbf681f9a1be33	1039	1111	653	713	588	1228	760	1017	465	697	694	362	289	745	737	787	556	671	704	257	255	731	691	825	1005	359	721	727	668	649	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora nisikadoi
f4ccf710f62ce3addd56e559649c94a3	316	109	831	127	1010	830	208	353	195	161	519	295	200	486	578	149	190	568	825	104	44	556	201	371	829	1183	360	288	118	378	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Schizotheciaceae	Echria	Echria gigantospora
2f1300346d76d281a1e08849610c6838	807	872	179	151	814	358	103	168	355	832	613	200	330	269	465	653	98	250	143	175	147	1079	326	477	292	96	478	1003	220	293	Eukaryota	Ascomycota	Dothideomycetes	NA	NA	Pseudoarthrographis	Pseudoarthrographis phlogis
567b06449df31427426ae9d81cfa8710	900	416	154	196	294	411	372	185	283	368	381	229	223	325	267	227	149	313	194	129	69	665	442	489	264	121	247	247	211	289	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium canescens
5c70a0264867f234e4d8abe8bb45ed3a	262	98	1852	427	297	2871	314	641	11	93	98	20	31	134	360	57	275	162	137	0	16	126	43	68	64	107	76	200	115	45	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Antealophiotrema	Antealophiotrema brunneosporum
4f1568a83fb540d70e801cce1b40ca03	890	266	49	149	148	395	115	110	201	122	291	24	91	91	152	118	122	184	163	53	15	174	508	394	165	90	109	144	71	307	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora novozelandica
bfba4ddbeec023210b13efcd26116fb8	403	239	127	124	169	159	176	107	190	400	390	221	123	175	97	120	51	157	91	71	69	362	350	396	148	48	127	118	106	139	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Sorocybe	Sorocybe oblongispora
339de6a21103ac63d47a2ca091175c46	25	41	41	39	47	53	809	162	60	215	58	80	0	64	1302	48	36	757	32	53	34	60	132	209	38	34	0	24	23	198	Eukaryota	Ascomycota	Dothideomycetes	Phaeotrichales	Phaeotrichaceae	Phaeotrichum	Phaeotrichum benjaminii
06b81d337bdcd44323859340fd3f897a	141	144	362	299	258	544	188	246	18	201	37	20	31	171	143	549	87	162	143	26	19	45	96	84	109	67	168	63	87	101	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium crousii
9014d1b7b1e6a32656193c74384ef175	130	134	52	91	140	113	124	107	568	205	266	96	71	154	229	101	28	120	85	270	53	348	152	265	101	35	148	65	73	139	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium foetens
982f9ab5ce2c62b9a7cbf137dd3e21b7	185	48	263	133	10	81	265	40	0	166	155	10	0	127	0	137	186	0	996	0	19	161	13	82	12	61	230	66	30	915	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Astrocystis	Astrocystis tessellati
e6da12b9d06c522b982b89f40aa670a1	586	64	114	68	355	65	41	67	124	21	78	48	50	15	28	364	41	141	31	30	0	170	974	484	39	40	54	6	0	79	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Corynesporascaceae	Corynespora	Corynespora encephalarti
70a8176ec19056bb2b5eae82ea7c2e69	91	290	52	176	48	63	197	0	37	51	160	54	60	377	184	51	219	52	53	0	35	106	192	60	181	77	931	55	117	40	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Schizotheciaceae	Echria	Echria gigantospora
8e2fd31be6c9e5d27055b45e46268a6e	106	106	60	78	99	216	86	51	153	146	136	101	104	139	91	144	229	167	71	63	57	266	191	171	96	61	71	60	64	100	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Tyrannosorus	Tyrannosorus hystrioides
3ed79ed8bc8409551b2f740fbec30b1c	186	123	44	55	87	170	114	34	134	224	174	140	88	75	85	67	98	112	67	63	46	278	172	164	90	86	78	59	100	117	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Nullicamyces	Nullicamyces eucalypti
2d5c75ea8afa3cec8aacabb6c1156fd2	129	129	108	93	149	104	98	92	104	219	116	70	61	94	104	136	35	123	110	31	64	164	139	135	112	66	83	74	103	89	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	Neophaeococcomyces	Neophaeococcomyces aloes
c265fc81a9c9ed514d46feb820cf0f36	136	192	66	87	63	118	72	60	94	201	147	60	102	130	49	59	41	65	34	42	48	244	152	180	68	26	101	66	83	69	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Sorocybe	Sorocybe oblongispora
8a17f1e98091ade10f35bcb25973c929	7	0	85	74	82	52	62	74	35	33	58	26	31	1632	16	8	0	20	10	9	11	29	20	45	10	0	13	9	5	0	Eukaryota	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Sarcodon	Sarcodon lidongensis
051725b7ab1330beed3e8a21f6c7ec04	128	106	28	51	62	54	66	41	37	111	53	68	42	82	126	78	33	51	43	49	18	217	141	99	120	55	56	115	44	58	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Hongkongmyces	Hongkongmyces pedis
7d29232b8e88b5f79933fd2678e311ae	178	121	42	46	50	86	87	44	81	148	105	71	69	82	60	44	22	72	33	18	0	89	116	135	62	24	68	49	42	44	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Sorocybe	Sorocybe oblongispora
8e5bca6c7bb4f3203084da5b55547157	155	82	61	84	72	94	90	54	44	119	64	60	47	87	82	46	18	84	45	21	27	89	91	137	77	38	41	49	72	46	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Neosorocybe	Neosorocybe pini
a6886fa53d4eeabb6992976c6532e525	137	162	85	59	161	144	65	292	0	30	19	0	10	47	90	90	29	67	127	7	5	19	14	31	47	16	37	63	57	115	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium subglaciale
d0dbd79c0c302b97d8bf9d857b837931	273	0	55	0	0	134	53	29	73	278	103	111	0	60	130	80	28	107	44	0	17	0	106	0	0	0	68	73	79	76	Eukaryota	Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	Circinaria	Circinaria rostamii
8dc0c8c5bc472822992ed3d6d1486073	248	99	33	33	66	74	51	35	93	174	80	50	52	48	49	29	10	44	30	22	0	109	144	94	58	7	55	26	35	37	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Neosorocybe	Neosorocybe pini
0443c7354925e24d8506457e2a2a4433	0	94	5	23	67	17	6	16	6	0	486	13	2	9	88	8	10	140	0	5	0	28	7	14	507	0	124	81	0	0	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena fulgoris
fe97104ddd1d0738fead27257ac9dc6c	83	30	30	57	39	83	62	50	45	55	73	46	37	74	107	76	32	42	36	0	0	234	97	120	24	54	37	36	50	30	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella merdicola
4b950364ad93de829600b91daf2a1734	58	71	53	47	92	94	103	49	23	111	113	53	33	51	30	58	20	68	52	6	12	18	47	68	40	52	57	21	78	78	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Camposporium	Camposporium septatum
c31aadb72148cfa01b6e38714efd18a2	110	118	54	39	33	199	22	187	0	63	24	0	18	68	60	72	106	78	57	0	18	20	0	17	43	0	55	0	47	0	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora recurvata
fd02e16be5ce437a7d3de8b73b3b7cc4	0	0	83	0	49	0	0	756	0	0	0	0	0	239	0	0	0	0	0	9	0	0	42	0	281	0	0	0	0	0	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Antealophiotrema	Antealophiotrema brunneosporum
6d1f04ffa901f9490ad643f8c3db2d07	193	111	22	14	43	33	39	22	72	77	87	38	47	40	27	17	14	25	21	21	7	120	82	83	56	12	14	22	17	33	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Microglossum	Microglossum viride
4e8ee558ceceaac4bdb33241eeb1b722	201	144	59	50	42	149	0	22	0	0	42	68	68	50	49	24	13	33	20	13	0	33	50	47	58	0	56	22	0	22	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus prolifer
