Class;variable;rpkm;pct
Leviviricetes;T0.R.Dry.soil.A;50251,17;11,09
Leviviricetes;T0.R.Dry.soil.B;29872,31;5,47
Leviviricetes;T0.R.Dry.soil.C;33251,66;6,43
Leviviricetes;T1.R.H218O.A;56724,42;14,16
Leviviricetes;T1.R.H218O.B;60999,51;14,47
Leviviricetes;T1.R.H218O.C;65514,52;14,41
Leviviricetes;T1.R.H218O.P.A;84411,20;18,63
Leviviricetes;T1.R.H218O.P.B;65062,34;14,93
Leviviricetes;T1.R.H218O.P.C;105684,95;25,79
Leviviricetes;T1.R.H2O.A;91660,98;19,38
Leviviricetes;T1.R.H2O.B;88991,38;20,36
Leviviricetes;T1.R.H2O.C;82633,71;17,74
Leviviricetes;T1.R.H2O.P.A;152045,17;35,51
Leviviricetes;T1.R.H2O.P.B;137518,79;31,88
Leviviricetes;T1.R.H2O.P.C;107157,81;24,29
Leviviricetes;T2.R.H218O.A;60368,98;13,51
Leviviricetes;T2.R.H218O.B;54481,20;11,71
Leviviricetes;T2.R.H218O.C;76800,20;14,72
Leviviricetes;T2.R.H218O.P.A;73596,75;17,20
Leviviricetes;T2.R.H218O.P.B;58083,21;13,60
Leviviricetes;T2.R.H218O.P.C;81661,04;18,99
Leviviricetes;T2.R.H2O.A;89133,91;18,90
Leviviricetes;T2.R.H2O.B;99641,82;22,01
Leviviricetes;T2.R.H2O.C;75955,46;16,93
Leviviricetes;T2.R.H2O.P.A;116195,72;24,85
Leviviricetes;T2.R.H2O.P.B;95911,36;20,80
Leviviricetes;T2.R.H2O.P.C;104128,22;21,71
Leviviricetes;T3.R.H218O.A;43505,50;9,17
Leviviricetes;T3.R.H218O.B;51171,69;10,84
Leviviricetes;T3.R.H218O.C;34915,72;7,47
Leviviricetes;T3.R.H218O.P.A;59825,71;13,24
Leviviricetes;T3.R.H218O.P.B;54642,40;12,94
Leviviricetes;T3.R.H218O.P.C;60842,08;12,39
Leviviricetes;T3.R.H2O.A;106020,82;21,79
Leviviricetes;T3.R.H2O.B;98015,21;21,59
Leviviricetes;T3.R.H2O.C;52635,89;10,79
Leviviricetes;T3.R.H2O.P.A;96950,03;24,62
Leviviricetes;T3.R.H2O.P.B;77047,17;17,16
Leviviricetes;T3.R.H2O.P.C;65628,43;15,37
