asv	superkingdom	phylum	class	order	family	genus	species
01045affa3171ecf1f3c29bbe54a892a	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Carlosrosaea	Carlosrosaea aechmeae
015b14811b5dce087d1b35fb6a82207c	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula babjevae
019d812aa553fbb3888e33358993a129	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Enterocarpus	Enterocarpus grenotii
028aba5cf99055a79a0040ed15c96c93	Eukaryota	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe toxica
029249770ceacc1092d1d35936a6ffec	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia xinjiangensis
02b2f50627247cbbd4e769db6b84f343	Eukaryota	Ascomycota	Eurotiomycetes	Sclerococcales	Dactylosporaceae	Sclerococcum	Sclerococcum tardum
02c0c9bf30eedac7d91812e4fc196b14	Eukaryota	Ascomycota	Dothideomycetes	NA	NA	Pseudoarthrographis	Pseudoarthrographis phlogis
02d84fe410b803fdd7c64eaf893f7bf5	Eukaryota	Streptophyta	Bryopsida	Bryales	Mniaceae	Plagiomnium	Plagiomnium medium
0322bc79ce739ea357dcf5501da6caf7	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium subrubescens
032c90bf80a2342648dc0fd18e3c432a	Eukaryota	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	Macrophomina pseudophaseolina
03415e47b71669317414f821ede36dce	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emmonsiellopsis	Emmonsiellopsis tuberculata
03ec434864da6489e8ff5ed27c600d80	Eukaryota	Ascomycota	Dothideomycetes	Tubeufiales	Bezerromycetaceae	Bezerromyces	Bezerromyces gobabebensis
03f6ea5f2a015c9fc480ee862500efa8	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora recurvata
0443c7354925e24d8506457e2a2a4433	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena fulgoris
04a0e9835fd26f8b02de2ee98209e879	Eukaryota	Ascomycota	Sordariomycetes	Diaporthales	NA	Prosopidicola	Prosopidicola mexicana
04d060397cd0f6bab9e64c99b74872f1	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Roussoella	Roussoella thailandica
04fa9d08dfe49ef8de1e2e6a012880ea	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophydiales	NA	Operculomyces	Operculomyces laminatus
0503cddb2b3dbb910d3927bf7092fa01	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neoophiobolus	Neoophiobolus chromolaenae
051725b7ab1330beed3e8a21f6c7ec04	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Hongkongmyces	Hongkongmyces pedis
05753e7a559a2d31cd68449b5aa638cf	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascus	Microascus cinereus
05ca58e6c5e62379f75b6fd19dcc77d3	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonospora	Neostagonospora caricis
05cd0b65c3cc9c5d9ac03c186a7e13a4	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus irregularis
063bd49e677b919e694e5f301b819271	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista reunionis
066bbe8cf90b9e779032296796363a25	Eukaryota	Ascomycota	Dothideomycetes	NA	NA	Pseudoarthrographis	Pseudoarthrographis phlogis
067709c09293334d5d6eed4a8588dff1	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Phlegmacium	Phlegmacium subfoetens
06b81d337bdcd44323859340fd3f897a	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium crousii
07a974c25b52310c36c557381a9847e0	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema mangalensis
07aa726820aa214817744057daf20b66	Eukaryota	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Pygmaeomycetaceae	Pygmaeomyces	Pygmaeomyces thomasii
07ff256831a2665d44d6dd60173fc6bd	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Sympoventuria	Sympoventuria capensis
08401253daafec8e7e777d50efd6bceb	Eukaryota	Ascomycota	Dothideomycetes	Mytilinidiales	Mytilinidiaceae	Pseudocamaropycnis	Pseudocamaropycnis pini
0860a9a3c7e99af51e06405bdd1c74cc	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia subvitalbae
08f112efc85d84f2fc65fc5d32e38c44	Eukaryota	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces arbusculus
0950b63e19a3dbb371b70baf5fcc98f0	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella lapis
09623591834e529425b5fcecd4707af9	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Alphamycetaceae	Alphamyces	Alphamyces chaetifer
096460ec4df4872c2f2bee76a45f5fd1	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Terfezia	Terfezia cistophila
09b5726578b1a2d78c751a27f8d92254	Eukaryota	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis moniliformis
09dab2e4993bfdd65d72ba44d35ed7db	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Chalara	Chalara hyalocuspica
0a04fe51d46d9ca50a2f95551251f93c	Eukaryota	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis dimorpha
0a8667cd493ca300e1450a299e9a92df	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora recurvata
0b0b5aa4b13cc3bcc39d8a88bc2bb883	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium subrubescens
0c116b5de45d39c537eca16de613e672	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumisynnematus
0c31359295cb9c0304f82a2273433d04	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha bicolor
0c31a725c1dc7cae9808e52e0fc03ec1	Eukaryota	Basidiomycota	Agaricomycetes	Sebacinales	NA	Chaetospermum	Chaetospermum chaetosporum
0c984cb962339090a07629daefb9f6dd	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus prolifer
0cbb52aa7bfad1b4835178721328ebb5	Eukaryota	Basidiomycota	Agaricomycetes	Auriculariales	NA	Psilochaete	Psilochaete multifora
0cbff70e7681f50fb825312a5a42ed2e	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus ovatus
0d69cd60a971ee62282e1a5ebc52d189	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Plectania	Plectania zugazae
