asv	1-Dry-Soil	2-Dry-Soil	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
36dab8d063771db8cedbf681f9a1be33	1039.0	1111.0	653.0	713.0	588.0	1228.0	760.0	1017.0	465.0	697.0	694.0	362.0	289.0	745.0	737.0	787.0	556.0	671.0	704.0	257.0	255.0	731.0	691.0	825.0	1005.0	359.0	721.0	727.0	668.0	649.0
f4ccf710f62ce3addd56e559649c94a3	316.0	109.0	831.0	127.0	1010.0	830.0	208.0	353.0	195.0	161.0	519.0	295.0	200.0	486.0	578.0	149.0	190.0	568.0	825.0	104.0	44.0	556.0	201.0	371.0	829.0	1183.0	360.0	288.0	118.0	378.0
2f1300346d76d281a1e08849610c6838	807.0	872.0	179.0	151.0	814.0	358.0	103.0	168.0	355.0	832.0	613.0	200.0	330.0	269.0	465.0	653.0	98.0	250.0	143.0	175.0	147.0	1079.0	326.0	477.0	292.0	96.0	478.0	1003.0	220.0	293.0
567b06449df31427426ae9d81cfa8710	900.0	416.0	154.0	196.0	294.0	411.0	372.0	185.0	283.0	368.0	381.0	229.0	223.0	325.0	267.0	227.0	149.0	313.0	194.0	129.0	69.0	665.0	442.0	489.0	264.0	121.0	247.0	247.0	211.0	289.0
5c70a0264867f234e4d8abe8bb45ed3a	262.0	98.0	1852.0	427.0	297.0	2871.0	314.0	641.0	11.0	93.0	98.0	20.0	31.0	134.0	360.0	57.0	275.0	162.0	137.0	0.0	16.0	126.0	43.0	68.0	64.0	107.0	76.0	200.0	115.0	45.0
4f1568a83fb540d70e801cce1b40ca03	890.0	266.0	49.0	149.0	148.0	395.0	115.0	110.0	201.0	122.0	291.0	24.0	91.0	91.0	152.0	118.0	122.0	184.0	163.0	53.0	15.0	174.0	508.0	394.0	165.0	90.0	109.0	144.0	71.0	307.0
bfba4ddbeec023210b13efcd26116fb8	403.0	239.0	127.0	124.0	169.0	159.0	176.0	107.0	190.0	400.0	390.0	221.0	123.0	175.0	97.0	120.0	51.0	157.0	91.0	71.0	69.0	362.0	350.0	396.0	148.0	48.0	127.0	118.0	106.0	139.0
339de6a21103ac63d47a2ca091175c46	25.0	41.0	41.0	39.0	47.0	53.0	809.0	162.0	60.0	215.0	58.0	80.0	0.0	64.0	1302.0	48.0	36.0	757.0	32.0	53.0	34.0	60.0	132.0	209.0	38.0	34.0	0.0	24.0	23.0	198.0
06b81d337bdcd44323859340fd3f897a	141.0	144.0	362.0	299.0	258.0	544.0	188.0	246.0	18.0	201.0	37.0	20.0	31.0	171.0	143.0	549.0	87.0	162.0	143.0	26.0	19.0	45.0	96.0	84.0	109.0	67.0	168.0	63.0	87.0	101.0
9014d1b7b1e6a32656193c74384ef175	130.0	134.0	52.0	91.0	140.0	113.0	124.0	107.0	568.0	205.0	266.0	96.0	71.0	154.0	229.0	101.0	28.0	120.0	85.0	270.0	53.0	348.0	152.0	265.0	101.0	35.0	148.0	65.0	73.0	139.0
982f9ab5ce2c62b9a7cbf137dd3e21b7	185.0	48.0	263.0	133.0	10.0	81.0	265.0	40.0	0.0	166.0	155.0	10.0	0.0	127.0	0.0	137.0	186.0	0.0	996.0	0.0	19.0	161.0	13.0	82.0	12.0	61.0	230.0	66.0	30.0	915.0
e6da12b9d06c522b982b89f40aa670a1	586.0	64.0	114.0	68.0	355.0	65.0	41.0	67.0	124.0	21.0	78.0	48.0	50.0	15.0	28.0	364.0	41.0	141.0	31.0	30.0	0.0	170.0	974.0	484.0	39.0	40.0	54.0	6.0	0.0	79.0
70a8176ec19056bb2b5eae82ea7c2e69	91.0	290.0	52.0	176.0	48.0	63.0	197.0	0.0	37.0	51.0	160.0	54.0	60.0	377.0	184.0	51.0	219.0	52.0	53.0	0.0	35.0	106.0	192.0	60.0	181.0	77.0	931.0	55.0	117.0	40.0
8e2fd31be6c9e5d27055b45e46268a6e	106.0	106.0	60.0	78.0	99.0	216.0	86.0	51.0	153.0	146.0	136.0	101.0	104.0	139.0	91.0	144.0	229.0	167.0	71.0	63.0	57.0	266.0	191.0	171.0	96.0	61.0	71.0	60.0	64.0	100.0
3ed79ed8bc8409551b2f740fbec30b1c	186.0	123.0	44.0	55.0	87.0	170.0	114.0	34.0	134.0	224.0	174.0	140.0	88.0	75.0	85.0	67.0	98.0	112.0	67.0	63.0	46.0	278.0	172.0	164.0	90.0	86.0	78.0	59.0	100.0	117.0
2d5c75ea8afa3cec8aacabb6c1156fd2	129.0	129.0	108.0	93.0	149.0	104.0	98.0	92.0	104.0	219.0	116.0	70.0	61.0	94.0	104.0	136.0	35.0	123.0	110.0	31.0	64.0	164.0	139.0	135.0	112.0	66.0	83.0	74.0	103.0	89.0
c265fc81a9c9ed514d46feb820cf0f36	136.0	192.0	66.0	87.0	63.0	118.0	72.0	60.0	94.0	201.0	147.0	60.0	102.0	130.0	49.0	59.0	41.0	65.0	34.0	42.0	48.0	244.0	152.0	180.0	68.0	26.0	101.0	66.0	83.0	69.0
8a17f1e98091ade10f35bcb25973c929	7.0	0.0	85.0	74.0	82.0	52.0	62.0	74.0	35.0	33.0	58.0	26.0	31.0	1632.0	16.0	8.0	0.0	20.0	10.0	9.0	11.0	29.0	20.0	45.0	10.0	0.0	13.0	9.0	5.0	0.0
051725b7ab1330beed3e8a21f6c7ec04	128.0	106.0	28.0	51.0	62.0	54.0	66.0	41.0	37.0	111.0	53.0	68.0	42.0	82.0	126.0	78.0	33.0	51.0	43.0	49.0	18.0	217.0	141.0	99.0	120.0	55.0	56.0	115.0	44.0	58.0
7d29232b8e88b5f79933fd2678e311ae	178.0	121.0	42.0	46.0	50.0	86.0	87.0	44.0	81.0	148.0	105.0	71.0	69.0	82.0	60.0	44.0	22.0	72.0	33.0	18.0	0.0	89.0	116.0	135.0	62.0	24.0	68.0	49.0	42.0	44.0
