index,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,k__Bacteria;p__Acidobacteria;c__Solibacteres,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria],k__Bacteria;p__Actinobacteria;c__Thermoleophilia,k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Bacteroidetes;c__[Saprospirae],k__Bacteria;p__Planctomycetes;c__Planctomycetia,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,k__Bacteria;p__Acidobacteria;c__iii1-8,k__Bacteria;p__Gemmatimonadetes;c__Gemm-1,k__Bacteria;p__Chloroflexi;c__TK10,k__Bacteria;p__Actinobacteria;c__MB-A2-108,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Chloroflexi;c__Anaerolineae,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,k__Bacteria;p__Acidobacteria;c__DA052,k__Bacteria;__;__,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae],k__Bacteria;p__Acidobacteria;c__Sva0725,k__Bacteria;p__TM7;c__TM7-1,k__Bacteria;p__AD3;c__ABS-6,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,k__Bacteria;p__Chloroflexi;c__Chloroflexi,k__Bacteria;p__Gemmatimonadetes;c__Gemm-3,k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Chlamydiae;c__Chlamydiia,k__Bacteria;p__Armatimonadetes;c__0319-6E2,k__Bacteria;p__Planctomycetes;c__BD7-11,k__Bacteria;p__Chloroflexi;c__S085,k__Bacteria;p__Nitrospirae;c__Nitrospira,k__Bacteria;p__TM7;c__TM7-3,k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__AD3;c__JG37-AG-4,k__Bacteria;p__Verrucomicrobia;c__Opitutae,k__Bacteria;p__Chloroflexi;__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__Acidobacteria;__,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Actinobacteria;__,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Chloroflexi;c__,k__Bacteria;p__Armatimonadetes;c__Armatimonadia,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__;c__,k__Bacteria;p__TM7;c__SC3,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia,k__Bacteria;p__Tenericutes;c__Mollicutes,k__Bacteria;p__Proteobacteria;c__,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Cyanobacteria;c__4C0d-2,k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Chloroflexi;c__TK17,k__Bacteria;p__OD1;c__SM2F11,k__Bacteria;p__WPS-2;c__,k__Bacteria;p__Planctomycetes;c__vadinHA49,k__Bacteria;p__TM7;c__,k__Bacteria;p__Bacteroidetes;c__At12OctB3,k__Bacteria;p__Chlorobi;c__,k__Bacteria;p__Chloroflexi;c__SAR202,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae],k__Bacteria;p__BHI80-139;c__,k__Bacteria;p__[Thermi];c__Deinococci,k__Bacteria;p__TM6;c__SJA-4,k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Planctomycetes;c__Pla4,k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__OD1;c__Mb-NB09,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__OD1;c__ZB2,k__Bacteria;p__FBP;c__,k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5,k__Bacteria;p__Proteobacteria;c__TA18,k__Bacteria;p__OD1;c__,Unassigned;__;__,k__Bacteria;p__Acidobacteria;c__TM1,k__Bacteria;p__Chlorobi;c__OPB56,k__Bacteria;p__Armatimonadetes;c__OPB50,k__Bacteria;p__Cyanobacteria;__,time,phosphate,isotope,control
1-Dry-Soil,2109.0,484.0,580.0,490.0,1665.0,295.0,1086.0,355.0,330.0,196.0,329.0,56.0,367.0,45.0,0.0,36.0,99.0,137.0,129.0,56.0,80.0,155.0,106.0,114.0,30.0,131.0,24.0,44.0,3.0,15.0,58.0,0.0,6.0,36.0,0.0,71.0,23.0,0.0,9.0,40.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T0,n,O16,n
2-Dry-Soil,1629.0,588.0,356.0,451.0,1184.0,531.0,1079.0,197.0,339.0,196.0,256.0,80.0,234.0,61.0,0.0,111.0,84.0,109.0,39.0,119.0,54.0,143.0,37.0,80.0,34.0,0.0,27.0,80.0,0.0,49.0,53.0,16.0,0.0,25.0,0.0,0.0,13.0,0.0,0.0,42.0,36.0,32.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T0,n,O16,n
T-1-H218O-A,713.0,227.0,59.0,418.0,496.0,152.0,395.0,0.0,108.0,130.0,99.0,120.0,93.0,52.0,64.0,46.0,65.0,57.0,0.0,0.0,0.0,23.0,0.0,20.0,23.0,10.0,0.0,7.0,24.0,0.0,31.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T1,n,O18,n
T-1-H218O-B,3592.0,1595.0,695.0,893.0,3326.0,1027.0,3122.0,619.0,911.0,1072.0,525.0,666.0,747.0,183.0,104.0,119.0,644.0,314.0,245.0,203.0,102.0,174.0,282.0,60.0,116.0,136.0,73.0,53.0,0.0,0.0,17.0,17.0,0.0,129.0,13.0,3.0,50.0,27.0,46.0,12.0,32.0,29.0,0.0,0.0,70.0,16.0,43.0,0.0,28.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,16.0,21.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,T1,n,O18,n
T-1-H218O-C,2388.0,830.0,640.0,632.0,2355.0,581.0,1593.0,296.0,789.0,503.0,214.0,312.0,396.0,130.0,105.0,222.0,359.0,148.0,127.0,136.0,81.0,216.0,370.0,124.0,65.0,51.0,55.0,40.0,0.0,38.0,70.0,41.0,16.0,69.0,30.0,0.0,15.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T1,n,O18,n
T-1-H218O-P-A,3305.0,475.0,603.0,612.0,3546.0,513.0,1567.0,220.0,480.0,239.0,268.0,268.0,441.0,237.0,141.0,435.0,406.0,44.0,46.0,45.0,56.0,158.0,89.0,9.0,44.0,46.0,50.0,104.0,211.0,82.0,14.0,41.0,0.0,106.0,0.0,0.0,8.0,2.0,0.0,30.0,0.0,19.0,0.0,10.0,28.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,T1,y,O18,n
T-1-H218O-P-B,9779.0,2001.0,1710.0,1815.0,11746.0,1473.0,7128.0,912.0,1791.0,1468.0,966.0,1171.0,2558.0,548.0,68.0,1683.0,2078.0,373.0,397.0,141.0,169.0,628.0,731.0,261.0,180.0,256.0,129.0,133.0,161.0,159.0,231.0,599.0,60.0,362.0,126.0,65.0,69.0,10.0,25.0,69.0,51.0,49.0,36.0,42.0,39.0,47.0,25.0,28.0,35.0,3.0,40.0,0.0,49.0,30.0,0.0,26.0,33.0,24.0,37.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,10.0,9.0,0.0,0.0,7.0,6.0,6.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,T1,y,O18,n
T-1-H218O-P-C,3527.0,1039.0,826.0,688.0,5006.0,801.0,2898.0,444.0,590.0,836.0,284.0,339.0,699.0,226.0,114.0,304.0,587.0,128.0,50.0,154.0,98.0,134.0,208.0,34.0,72.0,81.0,24.0,35.0,143.0,43.0,39.0,64.0,0.0,91.0,14.0,21.0,14.0,0.0,25.0,71.0,0.0,0.0,0.0,23.0,30.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,T1,y,O18,n
T-1-H2O-A,6.0,0.0,4.0,1.0,8.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T1,n,O16,n
T-1-H2O-B,1025.0,147.0,400.0,341.0,577.0,288.0,337.0,183.0,234.0,336.0,80.0,105.0,103.0,67.0,0.0,3.0,104.0,140.0,36.0,0.0,0.0,75.0,53.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T1,n,O16,n
