	1-Dry-Soil	2-Dry-Soil	NEGATIVE	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
6ac395c0092c1c4f7e931b5ecea9f391	0.0	0.0	0.0	1081.0	1547.0	1138.0	0.0	0.0	0.0	1218.0	0.0	2003.0	0.0	0.0	0.0	0.0	1072.0	0.0	0.0	0.0	771.0	0.0	2003.0	2974.0	1800.0	0.0	0.0	0.0	0.0	0.0	1528.0
78f8a0cd53a7cd3e3edc09b8ff59cbe7	887.0	958.0	0.0	586.0	623.0	451.0	924.0	504.0	811.0	0.0	585.0	514.0	833.0	474.0	659.0	405.0	686.0	486.0	867.0	679.0	817.0	820.0	582.0	632.0	0.0	659.0	595.0	0.0	441.0	0.0	499.0
8e39995b62266a94e65eba8c905b6772	864.0	0.0	0.0	611.0	0.0	535.0	1027.0	247.0	1046.0	497.0	482.0	482.0	0.0	480.0	624.0	290.0	797.0	425.0	1095.0	396.0	368.0	479.0	896.0	233.0	661.0	577.0	876.0	496.0	903.0	0.0	957.0
fdb788d36bc68cd5a452c0aa7afba4ae	619.0	514.0	0.0	607.0	0.0	575.0	1332.0	529.0	803.0	623.0	609.0	0.0	898.0	561.0	1155.0	564.0	1163.0	0.0	792.0	0.0	0.0	0.0	431.0	1042.0	615.0	770.0	0.0	0.0	0.0	559.0	1171.0
5c85e3ab599ead0c2366491abfff8531	0.0	0.0	0.0	0.0	0.0	0.0	3628.0	0.0	3533.0	0.0	1908.0	0.0	0.0	1665.0	1762.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1237.0	0.0	0.0	0.0	0.0
19757bf87fa187cc4027b2c8722b23ce	403.0	423.0	0.0	244.0	616.0	325.0	320.0	430.0	396.0	275.0	492.0	343.0	574.0	479.0	741.0	426.0	616.0	333.0	651.0	418.0	439.0	557.0	507.0	614.0	414.0	644.0	280.0	334.0	401.0	342.0	397.0
3c96efe4ab2baeb622bd2ba7603cfb4b	756.0	456.0	0.0	335.0	302.0	323.0	865.0	0.0	313.0	376.0	400.0	355.0	529.0	519.0	0.0	238.0	1396.0	216.0	496.0	309.0	330.0	374.0	383.0	710.0	585.0	489.0	175.0	290.0	424.0	367.0	529.0
929e4976b2c8286d8ba132ab0ee5d213	528.0	627.0	0.0	0.0	436.0	0.0	837.0	451.0	586.0	269.0	483.0	357.0	364.0	330.0	489.0	0.0	640.0	658.0	713.0	780.0	0.0	488.0	406.0	328.0	71.0	511.0	419.0	528.0	329.0	507.0	705.0
518c8ab0a7eb4a2ce06546d6924c6d98	1164.0	0.0	0.0	437.0	0.0	555.0	880.0	675.0	0.0	0.0	0.0	0.0	912.0	0.0	859.0	0.0	856.0	0.0	989.0	0.0	0.0	652.0	0.0	1616.0	0.0	822.0	383.0	0.0	0.0	524.0	0.0
d10829143812269e9bf809432db65c6f	464.0	390.0	0.0	411.0	627.0	106.0	484.0	568.0	245.0	0.0	371.0	403.0	95.0	84.0	665.0	0.0	672.0	1047.0	0.0	1346.0	0.0	142.0	245.0	0.0	365.0	115.0	354.0	411.0	285.0	197.0	1200.0
8d53a989e0b3c1eceedde2fa78737d6b	680.0	463.0	0.0	0.0	0.0	518.0	0.0	391.0	298.0	389.0	363.0	654.0	481.0	0.0	366.0	361.0	650.0	175.0	599.0	413.0	297.0	230.0	568.0	573.0	462.0	0.0	421.0	358.0	0.0	637.0	479.0
b8b797f42ed5d5d2fe1cfcb657e4b993	422.0	387.0	0.0	368.0	388.0	598.0	592.0	390.0	317.0	381.0	288.0	211.0	367.0	314.0	441.0	351.0	537.0	269.0	426.0	369.0	285.0	391.0	264.0	306.0	238.0	407.0	0.0	368.0	0.0	444.0	507.0
0018ec479d8b60335a9b85d84028b250	387.0	517.0	0.0	358.0	640.0	236.0	618.0	247.0	520.0	210.0	303.0	317.0	0.0	0.0	348.0	431.0	414.0	263.0	307.0	318.0	0.0	0.0	347.0	497.0	313.0	414.0	437.0	214.0	369.0	206.0	341.0
d8cbba2c9bdfdbecd2d595a2de83990a	359.0	0.0	0.0	0.0	460.0	0.0	0.0	288.0	0.0	957.0	562.0	816.0	347.0	166.0	492.0	583.0	347.0	0.0	393.0	233.0	848.0	318.0	934.0	476.0	0.0	0.0	176.0	354.0	0.0	0.0	347.0
f4e3241df677898c09f208d66d7cffbd	0.0	702.0	0.0	0.0	602.0	0.0	0.0	0.0	361.0	767.0	1215.0	1075.0	0.0	0.0	0.0	508.0	0.0	309.0	0.0	314.0	0.0	0.0	1230.0	0.0	1027.0	0.0	0.0	0.0	346.0	0.0	966.0
51a0f51ca83707f6f5d5302cc4c7bd5c	1448.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2193.0	0.0	0.0	0.0	1371.0	0.0	0.0	676.0	1820.0	0.0	0.0	0.0	1603.0	0.0
8efe72f8a318dc3aa48a69242dfe0a51	167.0	241.0	0.0	440.0	0.0	484.0	737.0	345.0	366.0	40.0	204.0	0.0	0.0	133.0	477.0	192.0	359.0	357.0	647.0	390.0	0.0	146.0	399.0	122.0	275.0	484.0	0.0	323.0	340.0	263.0	131.0
cc180bcde8f8dbc6c0409ba3ef08fb90	458.0	359.0	0.0	0.0	310.0	0.0	453.0	428.0	496.0	187.0	394.0	0.0	0.0	0.0	39.0	0.0	508.0	478.0	497.0	318.0	0.0	0.0	344.0	444.0	322.0	400.0	0.0	0.0	390.0	264.0	654.0
678070d4404984fd9451d7558e80f5a0	935.0	585.0	0.0	157.0	0.0	185.0	374.0	206.0	168.0	311.0	726.0	409.0	326.0	231.0	0.0	0.0	225.0	0.0	288.0	0.0	166.0	0.0	491.0	742.0	321.0	299.0	0.0	229.0	0.0	179.0	166.0
559e0b57fb89c2a43565d0ebc95ee1d7	482.0	445.0	0.0	0.0	224.0	283.0	263.0	238.0	170.0	319.0	460.0	525.0	381.0	231.0	267.0	0.0	221.0	0.0	254.0	201.0	134.0	0.0	416.0	589.0	522.0	217.0	0.0	0.0	192.0	178.0	183.0
e1ec8b829ee3d5a686423d7e3aa98241	495.0	294.0	0.0	0.0	330.0	219.0	449.0	186.0	233.0	315.0	0.0	297.0	0.0	153.0	191.0	274.0	255.0	217.0	339.0	304.0	0.0	0.0	287.0	394.0	476.0	299.0	0.0	187.0	243.0	120.0	640.0
93755c80c49ad25788a83b96c89f98ad	297.0	291.0	0.0	285.0	329.0	320.0	492.0	431.0	212.0	123.0	550.0	446.0	311.0	210.0	303.0	148.0	0.0	0.0	472.0	244.0	0.0	0.0	0.0	0.0	274.0	241.0	345.0	0.0	0.0	326.0	363.0
19aefa41776cc558fc7d2c53695aebbf	418.0	0.0	0.0	755.0	507.0	461.0	1269.0	288.0	210.0	0.0	155.0	0.0	0.0	0.0	0.0	495.0	0.0	573.0	306.0	245.0	0.0	0.0	235.0	0.0	101.0	0.0	224.0	112.0	321.0	181.0	0.0
ae2351cc23c8782321bd203beee9dffa	0.0	1215.0	0.0	0.0	1222.0	0.0	0.0	578.0	0.0	0.0	0.0	321.0	0.0	0.0	902.0	208.0	0.0	594.0	0.0	0.0	0.0	0.0	0.0	404.0	0.0	496.0	0.0	407.0	0.0	489.0	0.0
fcd624b58c90d9946e768ef25808b53e	0.0	0.0	0.0	630.0	0.0	444.0	471.0	177.0	0.0	0.0	0.0	396.0	811.0	0.0	490.0	232.0	0.0	0.0	0.0	611.0	0.0	0.0	592.0	182.0	0.0	690.0	597.0	0.0	0.0	0.0	0.0
8783d289f6e103e07e36ed1c3a254862	194.0	0.0	0.0	394.0	292.0	341.0	436.0	281.0	330.0	0.0	252.0	201.0	148.0	79.0	253.0	311.0	0.0	56.0	345.0	495.0	37.0	0.0	143.0	154.0	142.0	120.0	102.0	186.0	196.0	314.0	446.0
a858f9add6e52750f61c4a1ba115e9b3	206.0	281.0	0.0	485.0	559.0	346.0	704.0	273.0	426.0	0.0	287.0	87.0	70.0	0.0	255.0	179.0	321.0	189.0	306.0	226.0	91.0	0.0	105.0	182.0	0.0	153.0	0.0	267.0	0.0	129.0	0.0
e8d5109e5a84eb0dbd18b52ab8a89d2f	461.0	156.0	0.0	237.0	0.0	495.0	181.0	69.0	145.0	258.0	0.0	0.0	0.0	0.0	0.0	55.0	959.0	0.0	307.0	87.0	76.0	0.0	343.0	770.0	523.0	108.0	99.0	97.0	0.0	0.0	194.0
9ba0d3a869be3d468652f22098ca0682	328.0	290.0	0.0	0.0	716.0	0.0	0.0	392.0	0.0	0.0	303.0	0.0	0.0	0.0	0.0	0.0	0.0	496.0	308.0	217.0	0.0	0.0	553.0	0.0	240.0	0.0	571.0	0.0	848.0	0.0	0.0
463c0c350d1950ab76ab6b2eb8c2d05a	176.0	0.0	0.0	349.0	246.0	140.0	218.0	224.0	103.0	196.0	312.0	162.0	252.0	49.0	219.0	133.0	322.0	114.0	156.0	82.0	179.0	0.0	385.0	270.0	285.0	0.0	128.0	174.0	0.0	199.0	144.0
ffa423344553dd1fc34d5ac1d159f1fd	349.0	403.0	0.0	158.0	0.0	229.0	328.0	139.0	0.0	301.0	360.0	448.0	333.0	0.0	0.0	0.0	0.0	0.0	158.0	104.0	76.0	0.0	262.0	324.0	340.0	225.0	105.0	142.0	159.0	0.0	243.0
dd1484607eec0b0d501830fcfbf60df9	0.0	0.0	0.0	0.0	0.0	577.0	1022.0	214.0	0.0	0.0	0.0	272.0	0.0	365.0	788.0	0.0	1073.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	295.0	0.0	321.0	0.0	0.0	201.0	0.0
d00d0eb6c66d74f77d89684b741e4767	206.0	218.0	0.0	124.0	163.0	191.0	0.0	143.0	0.0	300.0	268.0	0.0	225.0	0.0	276.0	0.0	0.0	461.0	348.0	0.0	126.0	162.0	494.0	386.0	324.0	182.0	0.0	139.0	0.0	110.0	202.0
813d3051d1d21a06bc1a05da5f100eae	0.0	301.0	0.0	255.0	277.0	103.0	266.0	0.0	197.0	62.0	64.0	0.0	0.0	103.0	267.0	265.0	287.0	159.0	391.0	289.0	0.0	0.0	117.0	144.0	182.0	340.0	0.0	125.0	336.0	202.0	300.0
2d7eec53febb4d89fd7deed82e65c96d	364.0	261.0	0.0	122.0	120.0	0.0	379.0	195.0	82.0	277.0	408.0	360.0	287.0	0.0	188.0	157.0	0.0	0.0	0.0	0.0	0.0	122.0	519.0	455.0	0.0	189.0	0.0	0.0	0.0	180.0	228.0
68e0d45f1059695de31b248d0a36716b	0.0	537.0	0.0	311.0	0.0	0.0	754.0	0.0	642.0	0.0	237.0	128.0	0.0	0.0	0.0	157.0	388.0	493.0	412.0	242.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	259.0	182.0	0.0	0.0
86f71215854c33411971e50c1eb4237c	598.0	416.0	0.0	0.0	0.0	158.0	0.0	243.0	0.0	248.0	555.0	344.0	0.0	0.0	255.0	0.0	176.0	0.0	256.0	0.0	0.0	0.0	260.0	425.0	0.0	0.0	0.0	173.0	163.0	187.0	193.0
fdb67a96ba24aa2f5f62ec5600260944	0.0	220.0	0.0	162.0	155.0	0.0	0.0	125.0	0.0	260.0	533.0	355.0	0.0	110.0	239.0	244.0	0.0	103.0	210.0	0.0	114.0	62.0	293.0	0.0	302.0	312.0	58.0	172.0	0.0	147.0	295.0
fbc65e2bbe796776375b9595584f5567	46.0	0.0	0.0	0.0	0.0	91.0	111.0	359.0	323.0	174.0	384.0	106.0	176.0	0.0	130.0	505.0	0.0	74.0	418.0	69.0	0.0	0.0	0.0	306.0	365.0	87.0	65.0	0.0	0.0	45.0	365.0
fba2cd49488dd597f8ce46b22aef47cd	243.0	0.0	0.0	140.0	131.0	149.0	233.0	100.0	88.0	205.0	235.0	252.0	223.0	0.0	157.0	174.0	206.0	80.0	146.0	0.0	123.0	135.0	349.0	359.0	0.0	275.0	0.0	99.0	0.0	86.0	0.0
c3dc0c03d22ea8c269855723b04f9cab	322.0	0.0	0.0	158.0	165.0	277.0	262.0	241.0	0.0	0.0	250.0	231.0	174.0	167.0	192.0	323.0	195.0	81.0	0.0	49.0	0.0	0.0	268.0	0.0	0.0	0.0	182.0	0.0	119.0	175.0	148.0
b420fb80b9ec126c86d477e1522af5a2	219.0	0.0	0.0	345.0	0.0	0.0	0.0	364.0	0.0	0.0	306.0	231.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	799.0	0.0	0.0	342.0	0.0	255.0	0.0	0.0	308.0	0.0	0.0	787.0
a00a209679ad503653230ab33bd91170	0.0	308.0	0.0	181.0	228.0	150.0	406.0	125.0	318.0	0.0	0.0	148.0	0.0	0.0	199.0	0.0	235.0	174.0	0.0	217.0	0.0	0.0	192.0	230.0	196.0	226.0	0.0	0.0	155.0	0.0	206.0
1cc4c6bb3e100a05b5a6724867a939d2	211.0	666.0	0.0	300.0	0.0	504.0	776.0	0.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	161.0	0.0	0.0	145.0	133.0	0.0	0.0	0.0	132.0	333.0	0.0	104.0	151.0	0.0	122.0
