	1-Dry-Soil	2-Dry-Soil	NEGATIVE	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
7cd976e2eb6a3808a10bee735dd48736	0.0	0.0	0.0	0.0	107.0	121.0	128.0	426.0	170.0	0.0	62.0	66.0	96.0	280.0	119.0	107.0	45.0	0.0	107.0	135.0	72.0	102.0	97.0	162.0	164.0	103.0	98.0	78.0	80.0	351.0	66.0
a9b2510e5630cfb58b23eaf40cc36628	195.0	163.0	0.0	187.0	61.0	24.0	93.0	319.0	109.0	5.0	41.0	72.0	45.0	210.0	47.0	81.0	67.0	215.0	67.0	76.0	93.0	37.0	73.0	112.0	118.0	44.0	65.0	40.0	64.0	256.0	44.0
25264d18c9cd4150993c8269d7149f71	265.0	0.0	0.0	0.0	0.0	291.0	278.0	0.0	389.0	0.0	0.0	0.0	0.0	440.0	0.0	318.0	0.0	0.0	0.0	0.0	314.0	0.0	0.0	0.0	237.0	0.0	0.0	0.0	0.0	70.0	0.0
f78e83bc7026a93fe28e49c22d78b22c	0.0	0.0	0.0	0.0	42.0	480.0	494.0	74.0	490.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0	416.0	40.0	0.0	105.0	0.0	0.0	78.0	0.0
0523179e0ebbc3e83a597e6d1f0e6c76	0.0	0.0	0.0	189.0	102.0	66.0	220.0	92.0	40.0	0.0	0.0	107.0	0.0	30.0	195.0	0.0	0.0	317.0	0.0	256.0	107.0	0.0	0.0	52.0	126.0	0.0	68.0	175.0	0.0	68.0	0.0
ab19d41d9386b5c42e7a73a29c2d77bd	241.0	0.0	0.0	0.0	85.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	169.0	0.0	228.0	0.0	0.0	324.0	0.0	379.0	0.0	86.0	0.0	142.0	0.0	257.0	55.0	0.0
e36128ad2195784358911a858fb9026b	49.0	101.0	0.0	0.0	97.0	53.0	68.0	161.0	61.0	0.0	39.0	110.0	37.0	113.0	0.0	65.0	64.0	109.0	40.0	58.0	41.0	56.0	57.0	51.0	74.0	0.0	80.0	107.0	82.0	270.0	65.0
e9cfcac68646d8d7f27b2864f07144bf	0.0	146.0	0.0	0.0	43.0	34.0	45.0	116.0	65.0	0.0	0.0	193.0	130.0	118.0	124.0	36.0	0.0	0.0	0.0	87.0	117.0	227.0	0.0	70.0	83.0	0.0	76.0	90.0	0.0	132.0	133.0
a3c3211a86684f1d1bff5c4d7d8ae638	0.0	0.0	0.0	0.0	34.0	35.0	90.0	293.0	100.0	0.0	77.0	42.0	57.0	178.0	34.0	46.0	50.0	0.0	55.0	78.0	57.0	39.0	59.0	111.0	118.0	45.0	70.0	44.0	68.0	158.0	66.0
b41bbcc6e4bd9ac260bf4bcad7cb2e9e	104.0	0.0	0.0	0.0	114.0	75.0	0.0	163.0	99.0	3.0	143.0	0.0	0.0	88.0	0.0	51.0	0.0	0.0	0.0	0.0	45.0	358.0	165.0	91.0	52.0	0.0	79.0	0.0	0.0	131.0	126.0
f687a2c91bd232e27725abc2d6a914ac	0.0	0.0	0.0	0.0	195.0	0.0	0.0	114.0	0.0	0.0	122.0	0.0	0.0	239.0	0.0	337.0	0.0	0.0	0.0	180.0	0.0	200.0	0.0	0.0	0.0	0.0	78.0	291.0	0.0	89.0	0.0
232af8cb3bdb216a07ce2e57e5165412	171.0	241.0	0.0	0.0	72.0	128.0	0.0	60.0	32.0	0.0	253.0	0.0	0.0	105.0	0.0	146.0	0.0	0.0	201.0	0.0	157.0	0.0	0.0	137.0	0.0	0.0	47.0	0.0	0.0	73.0	0.0
3e438bb09b206620adc0cac63c3381ec	124.0	133.0	0.0	120.0	47.0	44.0	45.0	127.0	50.0	0.0	0.0	54.0	138.0	73.0	0.0	33.0	0.0	0.0	0.0	156.0	32.0	36.0	0.0	20.0	50.0	146.0	47.0	45.0	0.0	107.0	170.0
a0ae4f72882f3d8291e53fe7d42566c9	0.0	185.0	0.0	0.0	51.0	34.0	158.0	113.0	39.0	0.0	0.0	28.0	184.0	56.0	0.0	56.0	30.0	0.0	185.0	0.0	30.0	149.0	0.0	73.0	41.0	0.0	66.0	46.0	159.0	108.0	0.0
cc41605e49469c692625193c6908b282	140.0	0.0	0.0	0.0	0.0	0.0	253.0	105.0	0.0	0.0	118.0	137.0	161.0	253.0	0.0	191.0	0.0	0.0	0.0	174.0	199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0
54e7220fbfce2c528caea93ff7afa4a3	0.0	0.0	0.0	0.0	208.0	102.0	304.0	90.0	0.0	0.0	0.0	174.0	0.0	81.0	0.0	0.0	0.0	0.0	189.0	0.0	220.0	0.0	0.0	0.0	226.0	0.0	120.0	0.0	0.0	64.0	0.0
41acf7821480336daba5406f6bcc2b7b	0.0	0.0	0.0	0.0	47.0	0.0	36.0	142.0	158.0	0.0	0.0	270.0	0.0	50.0	0.0	39.0	0.0	242.0	0.0	0.0	56.0	0.0	0.0	0.0	64.0	179.0	121.0	121.0	154.0	90.0	0.0
2f03dfc336a44d6e686fd2f6494b674f	37.0	0.0	0.0	144.0	82.0	49.0	42.0	119.0	45.0	0.0	21.0	59.0	26.0	94.0	64.0	99.0	78.0	15.0	29.0	37.0	46.0	47.0	75.0	53.0	66.0	73.0	96.0	72.0	0.0	187.0	0.0
85e88d9c02b8058d98e4ba8c709c2749	252.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	307.0	0.0	0.0	0.0	237.0	0.0	0.0	0.0	295.0	0.0	0.0	332.0	0.0	0.0	98.0	0.0	61.0	0.0	0.0	46.0	0.0
c3806c487ef5bb52a5e456931e2ec46f	0.0	182.0	0.0	0.0	241.0	0.0	0.0	0.0	0.0	0.0	0.0	193.0	129.0	331.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	208.0	141.0
7a6ff16c4bb87a9bf3ff3a34b7fc327f	52.0	47.0	0.0	0.0	52.0	62.0	34.0	113.0	97.0	1.0	29.0	36.0	38.0	89.0	29.0	51.0	0.0	65.0	55.0	46.0	48.0	42.0	28.0	37.0	49.0	56.0	81.0	66.0	45.0	138.0	90.0
c4ff78f2c009d677ad36f4ecf46e3432	0.0	0.0	0.0	0.0	263.0	203.0	0.0	89.0	168.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	201.0	246.0	0.0	164.0	0.0	0.0	0.0	70.0	0.0	0.0	60.0	0.0
c61ebac7bfd6784d47048cdf1ba40d1d	188.0	0.0	0.0	0.0	46.0	0.0	0.0	110.0	120.0	0.0	0.0	0.0	0.0	60.0	0.0	82.0	0.0	0.0	65.0	30.0	115.0	0.0	0.0	42.0	46.0	175.0	48.0	42.0	123.0	146.0	76.0
1633b4d68e82f537dcf78bf29c3be529	0.0	0.0	0.0	0.0	209.0	0.0	0.0	70.0	161.0	0.0	0.0	0.0	70.0	149.0	0.0	188.0	0.0	0.0	118.0	0.0	235.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	0.0	81.0	0.0
b3e57dc5a7829acce6bdfa48227ab3b4	0.0	0.0	0.0	0.0	343.0	0.0	0.0	428.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	440.0	0.0	0.0	257.0	0.0
ff713c80976fc9375d8c81ef3299e62a	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	153.0	0.0	0.0	0.0	135.0	217.0	0.0	243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	165.0	121.0
8c1670c421db0a90f12771aec422da85	0.0	0.0	0.0	0.0	42.0	45.0	116.0	73.0	56.0	0.0	0.0	62.0	0.0	64.0	0.0	58.0	206.0	0.0	0.0	0.0	42.0	139.0	0.0	103.0	97.0	0.0	57.0	0.0	0.0	48.0	235.0
edf80463d2f3a168115eb5e2f0b3a3b3	0.0	0.0	0.0	0.0	0.0	0.0	30.0	106.0	0.0	0.0	0.0	0.0	210.0	62.0	0.0	62.0	273.0	0.0	0.0	0.0	102.0	0.0	0.0	116.0	116.0	0.0	66.0	132.0	0.0	95.0	0.0
b5fcd28c7be83d5aae6862569c7ff281	121.0	0.0	0.0	0.0	166.0	153.0	0.0	143.0	164.0	0.0	0.0	128.0	0.0	0.0	0.0	170.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0
c4766c1c67c7f2aade89d16a6f5050e5	0.0	0.0	0.0	0.0	0.0	214.0	0.0	0.0	231.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	187.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	241.0	109.0	46.0	0.0
dcc3b43e74a75e6295891c6ef45e31e5	0.0	0.0	0.0	0.0	0.0	155.0	0.0	309.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	201.0	115.0	299.0	0.0
3f385bcae34516d9151fd94a4dda725c	0.0	0.0	0.0	0.0	170.0	0.0	0.0	69.0	0.0	4.0	0.0	343.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.0	0.0	51.0	0.0
e64ac0479112af274cbb2206d0af77fb	172.0	139.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	230.0	0.0	139.0	0.0	0.0	0.0	203.0	182.0	0.0	0.0	0.0
bd1f41577dc30f430009474853bf3070	0.0	0.0	0.0	0.0	0.0	0.0	85.0	260.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	0.0	0.0	0.0	81.0	83.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	247.0	0.0
f41728c5420b3cc10fb13177e4eda2e8	0.0	0.0	0.0	0.0	28.0	128.0	0.0	43.0	86.0	0.0	0.0	101.0	0.0	27.0	0.0	67.0	102.0	0.0	0.0	161.0	151.0	0.0	0.0	153.0	60.0	0.0	0.0	0.0	0.0	58.0	0.0
b3231bb70dfce776856a97ab7bb2e275	174.0	0.0	0.0	0.0	0.0	0.0	105.0	186.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	169.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	0.0	178.0	107.0	0.0	0.0	0.0
2eccce55c7e50cdf0e8f73bf3fa91b1f	0.0	0.0	0.0	0.0	34.0	98.0	38.0	114.0	37.0	3.0	0.0	43.0	0.0	57.0	0.0	43.0	130.0	0.0	0.0	0.0	27.0	51.0	136.0	25.0	80.0	0.0	48.0	104.0	0.0	81.0	0.0
b3798e562b08b47ac35240361b1a611f	0.0	0.0	0.0	122.0	34.0	25.0	0.0	88.0	43.0	0.0	0.0	58.0	0.0	43.0	0.0	44.0	78.0	172.0	0.0	0.0	39.0	0.0	47.0	0.0	41.0	0.0	43.0	33.0	0.0	87.0	129.0
cacaf4a42de7098cf7c6ddf2e33352c4	240.0	0.0	0.0	0.0	0.0	0.0	0.0	194.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	315.0	0.0	0.0	0.0
2f393243b8b1f552d5c3d4b6dd5dc26c	42.0	0.0	0.0	0.0	33.0	91.0	41.0	109.0	44.0	0.0	0.0	27.0	0.0	40.0	0.0	35.0	0.0	0.0	0.0	0.0	38.0	92.0	84.0	30.0	20.0	0.0	76.0	79.0	130.0	80.0	0.0
c9aaf8d6115e571ac6cff9eb42970eb6	169.0	0.0	0.0	0.0	0.0	164.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	247.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.0	0.0	0.0	0.0
664d6dcf68ef395cec78b0333057f86b	82.0	0.0	0.0	0.0	0.0	81.0	0.0	67.0	118.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	138.0	0.0	0.0	73.0	0.0	111.0	62.0	0.0
e3c6283bff2ccaf624c169d93f6cf67f	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	126.0	0.0	173.0	0.0	0.0	99.0	0.0	72.0	92.0	123.0	0.0	0.0	0.0	0.0	0.0	134.0	0.0	0.0	98.0	0.0
d76b204df2487166ff4544dc3116c914	0.0	0.0	0.0	0.0	0.0	127.0	133.0	79.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	233.0	145.0	50.0	0.0	0.0	0.0	148.0	0.0	0.0	0.0	0.0	63.0	0.0
780648e7137170f4d1c3b8c7f2cc1cfb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	103.0	0.0	0.0	170.0	0.0	57.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	262.0	0.0	51.0	0.0
4e38feaa511714762b4de5e152046065	140.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	132.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	170.0	0.0	0.0	257.0	0.0	0.0	0.0	0.0
cf9f37f0c29640fbdca56829eaddf68a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	168.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	94.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	140.0	0.0
3c970c2bda125f7e7462be4f26b6998f	0.0	0.0	0.0	0.0	173.0	0.0	0.0	315.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	247.0	0.0
