peak_number	sample_ID	jar_volume	height_estimate	baseline_type	baseline	time	area	height	CO2_ppm	CO2_C_mg
1	std100	492	40,8	user	9	2023-01-24 10:42:05	249,1824	31,7252	106,4008	0,02613639
2	std500	492	169	user	9	2023-01-24 10:43:53	1554,9414	158,517	474,6893	0,11660309
3	std1000	492	343	user	9	2023-01-24 10:45:53	3358,0555	332,018	983,2564	0,24152797
4	std10000	492	3286	user	9	2023-01-24 10:47:42	35445,7528	3272,6	10033,5696	2,46465498
5	blank	1693	110	user	9	2023-01-24 10:49:59	863,4493	100,013	279,6544	0,23638187
6	blank	1693	101,9	user	9	2023-01-24 10:52:18	797,7111	92,532	261,113	0,22070946
7	blank	1693	68	user	9	2023-01-24 10:53:28	462,6879	57,4166	166,6199	0,14083785
8	blank	1693	116	user	9	2023-01-24 10:54:34	988,1513	109,957	314,8265	0,26611159
9	blank	1693	74	user	9	2023-01-24 10:55:49	522,5712	62,0414	183,5099	0,1551144
10	H2OAT1W1	1693	1982	user	9	2023-01-24 10:58:10	20319,098	1953,7	5767,1068	4,87472947
11	H2OAT2W1	1693	2094	user	9	2023-01-24 10:59:50	21083,7173	2020,75	5982,7672	5,05701948
12	H2OAT3W1	1693	1925	user	9	2023-01-24 11:01:14	20086,7479	1834,37	5701,5727	4,81933578
13	H2OBT1W1	1693	2007	user	9	2023-01-24 11:02:52	21783,81	1988,15	6180,2279	5,22392593
14	H2OBT2W1	1693	1894	user	9	2023-01-24 11:04:35	20190,1893	1854,79	5730,7483	4,84399685
15	H2OBT3W1	1693	1922	user	9	2023-01-24 11:06:00	20286,9707	1879,51	5758,0454	4,86707012
16	H2OCT1W1	1693	2120	user	9	2023-01-24 11:07:27	23499,0508	2093,42	6664,0104	5,63285001
17	H2OCT2W1	1693	1950	user	9	2023-01-24 11:08:41	22678,9945	1917,49	6432,7141	5,43734348
18	H2OCT3W1	1693	1923	user	9	2023-01-24 11:10:06	23373,1553	1889,51	6628,5016	5,60283573
19	H2OPAT1W1	1693	1668	user	9	2023-01-24 11:11:27	18372,1566	1617,41	5217,9733	4,41056653
20	H2OPAT2W1	1693	991	user	9	2023-01-24 11:13:00	11348,2648	960,683	3236,8895	2,73602707
21	H2OPAT3W1	1693	1132	user	9	2023-01-24 11:14:30	13198,3431	1100,29	3758,7028	3,17709723
22	H2OPBT1W1	1693	935	user	9	2023-01-24 11:15:54	10026,884	912,126	2864,1949	2,42100168
23	H2OPBT2W1	1693	1781	user	9	2023-01-24 11:17:14	19737,3585	1755,25	5603,0276	4,73603917
24	H2OPBT3W1	1693	1950	user	9	2023-01-24 11:18:33	23273,6209	1929,23	6600,428	5,57910611
25	H2OPCT1W1	1693	342	user	9	2023-01-24 11:19:56	3371,3964	304,365	987,0192	0,83429204
26	H2OPCT2W1	1693	398	user	9	2023-01-24 11:21:15	3961,7658	366,329	1153,5324	0,97503978
27	H2OPCT3W1	1693	1103	user	9	2023-01-24 11:22:26	14218,1228	1073,2	4046,3309	3,42021904
28	H218OAT1W1	1693	3165	user	9	2023-01-24 11:23:59	35151,3422	3130,89	9950,5312	8,41082872
29	H218OAT2W1	1693	2685	user	9	2023-01-24 11:25:15	28522,9321	2637,51	8080,9927	6,83057453
30	H218OAT3W1	1693	2148	user	9	2023-01-24 11:26:22	23523,1491	2117,52	6670,8073	5,63859518
31	H218OBT1W1	1693	2826	user	9	2023-01-24 11:28:07	30469,7752	2785,61	8630,0984	7,29471403
32	H218OBT2W1	1693	2854	user	9	2023-01-24 11:29:40	32078,1656	2832,15	9083,7439	7,6781643
33	H218OBT3W1	1693	2939	user	9	2023-01-24 11:30:53	32181,8874	2860,55	9112,9985	7,70289222
34	H218OCT1W1	1693	2572	user	9	2023-01-24 11:32:04	32385,4571	2545,07	9170,4152	7,7514245
35	H218OCT2W1	1693	2232	user	9	2023-01-24 11:33:08	24435,9069	2193,33	6928,25	5,85620231
