Contig	T0.R.Dry.soil.A	T0.R.Dry.soil.B	T0.R.Dry.soil.C	T1.R.H218O.A	T1.R.H218O.B	T1.R.H218O.C	T1.R.H218O.P.A	T1.R.H218O.P.B	T1.R.H218O.P.C	T1.R.H2O.A	T1.R.H2O.B	T1.R.H2O.C	T1.R.H2O.P.A	T1.R.H2O.P.B	T1.R.H2O.P.C	T2.R.H218O.A	T2.R.H218O.B	T2.R.H218O.C	T2.R.H218O.P.A	T2.R.H218O.P.B	T2.R.H218O.P.C	T2.R.H2O.A	T2.R.H2O.B	T2.R.H2O.C	T2.R.H2O.P.A	T2.R.H2O.P.B	T2.R.H2O.P.C	T3.R.H218O.A	T3.R.H218O.B	T3.R.H218O.C	T3.R.H218O.P.A	T3.R.H218O.P.B	T3.R.H218O.P.C	T3.R.H2O.A	T3.R.H2O.B	T3.R.H2O.C	T3.R.H2O.P.A	T3.R.H2O.P.B	T3.R.H2O.P.C	Class	Order	host	Phylum
T0-R-Dry-soil-A_NODE_1_length_9631_cov_21.758159	3632.3936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330.86502	0	0	0	0	0	0	0	0	0	0	0	0	0	Pisoniviricetes	Picornavirales	NA	Pisuviricota
T0-R-Dry-soil-A_NODE_2_length_8200_cov_20.309263	2968.7036	1509.7423	491.4974	3487.75	2200.84	1287.1307	4154.351	1058.4231	8612.274	0	750.6055	0	2405.5203	321.53006	303.9592	4340.3496	867.8831	3317.383	286.74097	2163.2146	1521.2388	139.95628	500.8192	260.4335	137.1708	85.993835	106.60723	965.966	1319.8584	2129.442	6787.438	1813.3339	284.26563	0	339.2376	966.44244	898.6049	543.7541	2746.3262	Alsuviricetes	Tymovirales	NA	Kitrinoviricota
T0-R-Dry-soil-A_NODE_5_length_4628_cov_25.952381	3391.3284	2795.8389	3770.878	5800.4263	7051.9004	7125.8735	5359.545	5100.388	3485.379	10242.704	12465.171	10958.318	8559.902	7521.298	5716.503	7941.0474	7028.6133	12218.168	5736.576	3794.0723	4489.7627	14844.856	14323.402	9848.974	6523.3105	6270.1465	6529.2266	7122.742	10591.803	4926.0903	4268.0225	4192.772	3975.7432	12524.479	16335.311	8362.631	4352.099	4254.2754	3124.8047	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_6_length_4351_cov_29.963551	3568.1233	1089.6261	754.0934	825.6429	1153.2313	1206.4751	738.689	1262.6973	686.33527	731.9497	1475.6947	1660.9823	602.1729	1103.4663	2733.2007	1565.2592	1069.8483	1287.9935	891.9207	585.4695	422.17883	266.76233	361.33698	724.0139	692.92804	441.06583	286.6194	1660.879	2350.8604	1947.9791	661.1655	2758.7043	899.2252	501.65887	910.16504	622.0298	5274.4526	743.8234	991.79	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_8_length_3991_cov_168.650255	27099.432	404.46387	388.40073	250.7179	183.12975	0	66.137474	108.474754	0	131.13554	0	164.90717	120.04402	0	0	0	658.87665	1289.6708	0	0	0	182.99106	128.92276	159.8014	91.523506	0	55.142345	0	396.0005	105.69303	0	0	0	149.89384	0	135.62773	0	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_12_length_3797_cov_18.981213	2944.623	0	374.2248	231.12686	0	202.53265	118.5872	298.61606	0	0	272.62396	0	0	0	111.55023	591.23615	895.88226	0	0	190.87355	0	0	675.0396	862.7351	123.68535	0	2002.8308	768.71356	0	539.96466	255.56868	0	283.12903	212.9086	676.6537	0	243.73535	211.10855	1674.1942	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_13_length_3793_cov_64.481193	5027.236	9570.466	1484.8553	35252.66	759.64087	0	0	0	0	6954.8306	162.2717	0	3708.3972	0	949.17694	0	1539.9464	0	0	0	543.21155	0	0	221.64339	0	0	119.26509	0	0	0	0	0	0	0	0	0	3206.904	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_14_length_3759_cov_25.078362	4055.503	476.76517	429.55438	0	0	0	0	0	0	0	0	222.22327	0	0	95.34284	0	288.74692	0	0	0	0	0	0	0	89.46012	0	0	0	0	0	0	422.41473	138.87074	0	138.75443	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_15_length_3692_cov_10.814692	1531.8064	4606.2993	1228.0779	404.31226	708.09015	537.33466	569.8467	201.01659	168.63889	696.7141	894.1765	716.4775	561.64307	208.402	295.6316	3221.303	445.52658	1009.75696	451.3647	151.59953	134.31558	1338.7549	5081.6133	706.6762	252.83548	222.42325	142.39714	161.64185	249.99345	273.67502	147.74864	0	106.393135	2631.9436	2467.0354	918.6138	159.70778	138.40918	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_16_length_3550_cov_11.920954	1908.8748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048.0337	0	0	0	309.26306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
