"Contig","T0.R.Dry.soil.A","T0.R.Dry.soil.B","T0.R.Dry.soil.C","T1.R.H218O.A","T1.R.H218O.B","T1.R.H218O.C","T1.R.H218O.P.A","T1.R.H218O.P.B","T1.R.H218O.P.C","T1.R.H2O.A","T1.R.H2O.B","T1.R.H2O.C","T1.R.H2O.P.A","T1.R.H2O.P.B","T1.R.H2O.P.C","taxonomy","Class","Order","host"
"T0-R-Dry-soil-A_NODE_62_length_2611_cov_32.782283",1238,982,347,14,40,18,56,12,2,92,104,34,82,22,40,"Cryppavirales","Howeltoviricetes","Cryppavirales",NA
"T0-R-Dry-soil-A_NODE_893_length_1316_cov_8.650602",173,20,35,2,0,3,1,0,0,0,0,0,0,0,0,"Wolframvirales","Amabiliviricetes","Wolframvirales",NA
"T0-R-Dry-soil-A_NODE_907_length_1310_cov_3.267151",191,201,134,8,7,5,13,12,6,2,0,2,2,13,10,"Ourlivirales","Miaviricetes","Ourlivirales",NA
"T0-R-Dry-soil-B_NODE_98_length_1989_cov_4.566736",87,88,100,326,314,270,871,569,599,858,381,373,2498,2047,1451,"Timlovirales","Leviviricetes","Timlovirales","Bacteria"
"T0-R-Dry-soil-B_NODE_217_length_1679_cov_28.835199",233,773,300,73,54,90,116,71,53,128,83,105,104,96,94,"Wolframvirales","Amabiliviricetes","Wolframvirales",NA
"T0-R-Dry-soil-B_NODE_4606_length_765_cov_13.685879",40,42,36,194,173,212,445,346,182,428,200,297,1325,920,788,"o.0081","Lenarviricota","Lenarviricota","Bacteria"
"T0-R-Dry-soil-C_NODE_101_length_2330_cov_42.440460",201,88,171,21,28,22,32,25,11,7,7,6,26,11,16,"Ourlivirales","Miaviricetes","Ourlivirales",NA
"T1-R-H218O-A_NODE_79_length_2957_cov_7.209286",2,8,8,195,82,80,146,218,153,179,76,242,291,145,115,"Tolivirales","Tolucaviricetes","Tolivirales","Fungi"
"T1-R-H218O-A_NODE_99_length_2804_cov_8.111233",21,10,20,332,237,320,1365,812,905,378,255,268,1365,1245,1200,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-A_NODE_164_length_2462_cov_5.689251",8,6,9,206,186,172,1836,1127,677,1254,216,229,4358,4142,3676,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-A_NODE_22243_length_734_cov_4.211161",0,2,0,33,40,22,111,74,185,20,16,20,103,113,92,"Timlovirales","Leviviricetes","Timlovirales","Bacteria"
"T1-R-H218O-B_NODE_40_length_3217_cov_14.535601",10,16,10,313,113,292,335,288,530,183,361,233,840,382,483,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-B_NODE_2552_length_1216_cov_5.870742",4,2,0,14,20,20,143,88,64,105,26,14,397,316,274,"Timlovirales","Leviviricetes","Timlovirales","Bacteria"
"T1-R-H218O-C_NODE_19_length_3476_cov_46.318649",52,50,28,1407,539,1281,1153,994,2164,1025,1498,1298,4117,1543,2180,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-C_NODE_470_length_1890_cov_17.399120",0,0,0,0,32,540,8,3,20,8,0,0,0,10,0,"Ourlivirales","Miaviricetes","Ourlivirales",NA
"T1-R-H218O-C_NODE_38835_length_619_cov_4.450730",0,0,0,2,2,2,28,18,16,19,16,4,70,114,66,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-P-A_NODE_19_length_4137_cov_56.870389",4,4,8,131,155,198,1533,1005,705,1114,228,185,3993,4108,3122,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-P-B_NODE_11_length_4035_cov_9.059788",0,0,0,4,4,62,127,177,72,4,6,0,79,90,50,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-P-B_NODE_1660_length_1310_cov_8.404358",0,8,2,6,10,16,42,60,92,24,20,17,108,88,110,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-P-B_NODE_1899_length_1268_cov_9.814536",8,6,6,52,38,33,102,118,246,60,41,21,217,183,221,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
