Accession;Organism_Name;SRA_Accession;Species;Genus;Family;Molecule_type;Length;Nuc_Completeness;Geo_Location;Host;Isolation_Source
NC_076143;Rhizoctonia solani ourmia-like virus 1;;Rhizoctonia magoulivirus 1;Magoulivirus;Botourmiaviridae;ssRNA(+);1901;complete;USA;Rhizoctonia solani;
NC_076179;Pyricularia oryzae ourmia-like virus 1;;Pyricularia penoulivirus;Penoulivirus;Botourmiaviridae;ssRNA(+);2528;complete;;Pyricularia oryzae;
NC_076180;Pyricularia oryzae ourmia-like virus 2;;Betascleroulivirus pyriculariae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);1671;complete;;Pyricularia oryzae;
NC_076181;Pyricularia oryzae ourmia-like virus 3;;Pyricularia scleroulivirus 3;Scleroulivirus;Botourmiaviridae;ssRNA(+);2557;complete;;Pyricularia oryzae;
NC_076202;Entoleuca ourmia-like virus 1;;Betabotoulivirus entoleucae;Betabotoulivirus;Botourmiaviridae;ssRNA(+);3412;complete;Spain;Entoleuca sp.;
NC_076203;Sclerotinia sclerotiorum ourmia-like virus 3;;Sclerotinia botoulivirus 3;Botoulivirus;Botourmiaviridae;ssRNA(+);2442;complete;Australia;Sclerotinia sclerotiorum;
NC_076229;Penicillium citrinum ourmia-like virus 1;;Penicillium magoulivirus;Magoulivirus;Botourmiaviridae;ssRNA(+);2528;complete;Italy;Penicillium citrinum;
NC_076348;Aspergillus neoniger ourmia-like virus 1;;Aspergillus penoulivirus;Penoulivirus;Botourmiaviridae;ssRNA(+);2708;complete;USA;Aspergillus neoniger;
NC_076367;Magnaporthe oryzae ourmia-like virus 4;;Magnaporthe penoulivirus;Penoulivirus;Botourmiaviridae;ssRNA(+);2497;complete;China;Pyricularia oryzae;
NC_076371;Colletotrichum gloeosporioides ourmia-like virus 1;;Colletotrichum magoulivirus;Magoulivirus;Botourmiaviridae;ssRNA(+);2516;complete;China;Colletotrichum gloeosporioides;
NC_076379;Neofusicoccum parvum ourmia-like virus 1;SRR8303984;Neofusicoccum penoulivirus;Penoulivirus;Botourmiaviridae;ssRNA(+);2844;complete;Italy;Neofusicoccum parvum;
NC_076380;Cladosporium cladosporioides ourmia-like virus 1;SRR8303987;Cladosporium magoulivirus 1;Magoulivirus;Botourmiaviridae;ssRNA(+);2857;complete;Italy;Cladosporium cladosporioides;
NC_076381;Penicillium sumatrense ourmia-like virus 1;SRR8303986;Penicillium penoulivirus;Penoulivirus;Botourmiaviridae;ssRNA(+);2976;complete;Italy;Penicillium sumatraense;
NC_076382;Cladosporium uredinicola ourmiavirus 1;SRR8303985;Cladosporium uredinicola ourmiavirus 1;Ourmiavirus;Botourmiaviridae;ssRNA(+);2593;complete;Italy;;
NC_076383;Cladosporium uredinicola ourmiavirus 2;SRR8303985;Cladosporium uredinicola ourmiavirus 2;Ourmiavirus;Botourmiaviridae;ssRNA(+);3030;complete;Italy;;
NC_076384;Epicoccum nigrum ourmia-like virus 1;SRR8303985;Epicoccum botoulivirus;Botoulivirus;Botourmiaviridae;ssRNA(+);2749;complete;Italy;Epicoccum nigrum;
NC_076385;Phaeoacremonium minimum ourmia-like virus 1;SRR8303990;Phaeoacremonium penoulivirus;Penoulivirus;Botourmiaviridae;ssRNA(+);2936;complete;Italy;Phaeoacremonium minimum;
NC_076386;Epicoccum nigrum ourmia-like virus 2;SRR8303985;Epicoccum penoulivirus;Penoulivirus;Botourmiaviridae;ssRNA(+);2852;complete;Italy;Epicoccum nigrum;
NC_076387;Acremonium sclerotigenum ourmia-like virus 1;SRR8303990;Acremonium magoulivirus;Magoulivirus;Botourmiaviridae;ssRNA(+);2848;complete;Italy;Acremonium sclerotigenum;
NC_076388;Phaeoacremonium minimum ourmia-like virus 2;SRR8303985;Phaeoacremonium magoulivirus;Magoulivirus;Botourmiaviridae;ssRNA(+);2793;complete;Italy;Phaeoacremonium minimum;
