"RdRp_ID","taxonomy","bitscore","Contig","Class"
"T0-R-Dry-soil-A_NODE_1728_length_1086_cov_3.022660_1","Tymovirales",367,"T0-R-Dry-soil-A_NODE_1728_length_1086_cov_3.022660","Alsuviricetes"
"T0-R-Dry-soil-A_NODE_3485_length_897_cov_4.664649_2","Cryppavirales",105.5,"T0-R-Dry-soil-A_NODE_3485_length_897_cov_4.664649","Howeltoviricetes"
"T0-R-Dry-soil-B_NODE_10622_length_610_cov_1.172542_1","Tymovirales",103.7,"T0-R-Dry-soil-B_NODE_10622_length_610_cov_1.172542","Alsuviricetes"
"T0-R-Dry-soil-B_NODE_3_length_4181_cov_12.413625_1","Tymovirales",80.7,"T0-R-Dry-soil-B_NODE_3_length_4181_cov_12.413625","Alsuviricetes"
"T0-R-Dry-soil-C_NODE_10127_length_669_cov_1.556856_1","Tymovirales",88.8,"T0-R-Dry-soil-C_NODE_10127_length_669_cov_1.556856","Alsuviricetes"
"T0-R-Dry-soil-C_NODE_12812_length_626_cov_1.509910_1","Tymovirales",79.5,"T0-R-Dry-soil-C_NODE_12812_length_626_cov_1.509910","Alsuviricetes"
"T0-R-Dry-soil-C_NODE_299_length_1783_cov_3.418808_1","Tymovirales",365.7,"T0-R-Dry-soil-C_NODE_299_length_1783_cov_3.418808","Alsuviricetes"
"T0-R-Dry-soil-C_NODE_84_length_2395_cov_5.158778_1","Bunyavirales",128.4,"T0-R-Dry-soil-C_NODE_84_length_2395_cov_5.158778","Ellioviricetes"
"T0-R-Dry-soil-C_NODE_8734_length_696_cov_2.968000_1","Cryppavirales",108.1,"T0-R-Dry-soil-C_NODE_8734_length_696_cov_2.968000","Howeltoviricetes"
"T1-R-H218O-A_NODE_21178_length_745_cov_1.327893_1","Tymovirales",205.4,"T1-R-H218O-A_NODE_21178_length_745_cov_1.327893","Alsuviricetes"
"T1-R-H218O-A_NODE_27737_length_692_cov_1.458937_2","Tymovirales",102.7,"T1-R-H218O-A_NODE_27737_length_692_cov_1.458937","Alsuviricetes"
"T1-R-H218O-B_NODE_11_length_4344_cov_13.386380_1","Tymovirales",80.3,"T1-R-H218O-B_NODE_11_length_4344_cov_13.386380","Alsuviricetes"
"T1-R-H218O-B_NODE_149_length_2411_cov_3.857692_1","Tymovirales",165,"T1-R-H218O-B_NODE_149_length_2411_cov_3.857692","Alsuviricetes"
"T1-R-H218O-B_NODE_2837_length_1181_cov_3.162162_1","Tymovirales",93.1,"T1-R-H218O-B_NODE_2837_length_1181_cov_3.162162","Alsuviricetes"
"T1-R-H218O-B_NODE_7670_length_898_cov_2.645707_2","Tymovirales",113.7,"T1-R-H218O-B_NODE_7670_length_898_cov_2.645707","Alsuviricetes"
"T1-R-H218O-C_NODE_13270_length_818_cov_1.870147_1","Tymovirales",210.7,"T1-R-H218O-C_NODE_13270_length_818_cov_1.870147","Alsuviricetes"
"T1-R-H218O-C_NODE_23153_length_709_cov_2.429467_1","Kitrinoviricota",20.8,"T1-R-H218O-C_NODE_23153_length_709_cov_2.429467","Kitrinoviricota"
"T1-R-H218O-C_NODE_9_length_4245_cov_10.457115_1","Tymovirales",80.3,"T1-R-H218O-C_NODE_9_length_4245_cov_10.457115","Alsuviricetes"
"T1-R-H218O-P-A_NODE_11_length_4669_cov_8.033275_2","Tombusviridae",35,"T1-R-H218O-P-A_NODE_11_length_4669_cov_8.033275","Tolucaviricetes"
"T1-R-H218O-P-A_NODE_16_length_4236_cov_13.500600_1","Tymovirales",84.8,"T1-R-H218O-P-A_NODE_16_length_4236_cov_13.500600","Alsuviricetes"
"T1-R-H218O-P-A_NODE_19747_length_768_cov_2.308465_1","Tymovirales",125.4,"T1-R-H218O-P-A_NODE_19747_length_768_cov_2.308465","Alsuviricetes"
"T1-R-H218O-P-A_NODE_3688_length_1203_cov_3.773852_1","Tymovirales",95.3,"T1-R-H218O-P-A_NODE_3688_length_1203_cov_3.773852","Alsuviricetes"
"T1-R-H218O-P-B_NODE_15845_length_731_cov_2.543939_1","Picornavirales",142.9,"T1-R-H218O-P-B_NODE_15845_length_731_cov_2.543939","Pisoniviricetes"
"T1-R-H218O-P-B_NODE_1977_length_1257_cov_2.360877_1","Picornaviridae",76.9,"T1-R-H218O-P-B_NODE_1977_length_1257_cov_2.360877","Pisoniviricetes"
"T1-R-H218O-P-B_NODE_2066_length_1241_cov_3.316239_1","Tymovirales",102.2,"T1-R-H218O-P-B_NODE_2066_length_1241_cov_3.316239","Alsuviricetes"
"T1-R-H218O-P-B_NODE_7_length_4216_cov_9.737033_1","Tymovirales",80.3,"T1-R-H218O-P-B_NODE_7_length_4216_cov_9.737033","Alsuviricetes"
"T1-R-H218O-P-C_NODE_11361_length_758_cov_2.013100_1","Tymovirales",190,"T1-R-H218O-P-C_NODE_11361_length_758_cov_2.013100","Alsuviricetes"
"T1-R-H218O-P-C_NODE_21041_length_647_cov_1.857639_2","Tymovirales",101.5,"T1-R-H218O-P-C_NODE_21041_length_647_cov_1.857639","Alsuviricetes"
"T1-R-H218O-P-C_NODE_6_length_4812_cov_20.895803_1","Tymovirales",107.1,"T1-R-H218O-P-C_NODE_6_length_4812_cov_20.895803","Alsuviricetes"
"T1-R-H2O-A_NODE_113_length_3136_cov_6.851223_1","Tymovirales",118.2,"T1-R-H2O-A_NODE_113_length_3136_cov_6.851223","Alsuviricetes"
"T1-R-H2O-A_NODE_164_length_2896_cov_2.882478_1","Tymovirales",403.7,"T1-R-H2O-A_NODE_164_length_2896_cov_2.882478","Alsuviricetes"
"T1-R-H2O-A_NODE_16944_length_852_cov_2.539052_1","Ghabrivirales",109,"T1-R-H2O-A_NODE_16944_length_852_cov_2.539052","Chrymotiviricetes"
"T1-R-H2O-A_NODE_26879_length_749_cov_2.374631_1","Ghabrivirales",189.1,"T1-R-H2O-A_NODE_26879_length_749_cov_2.374631","Chrymotiviricetes"
"T1-R-H2O-A_NODE_32260_length_711_cov_3.246875_1","Tymovirales",70.8,"T1-R-H2O-A_NODE_32260_length_711_cov_3.246875","Alsuviricetes"
"T1-R-H2O-A_NODE_3515_length_1326_cov_1.380876_1","Tymovirales",96.9,"T1-R-H2O-A_NODE_3515_length_1326_cov_1.380876","Alsuviricetes"
"T1-R-H2O-A_NODE_42158_length_660_cov_3.346350_1","Tymovirales",243.6,"T1-R-H2O-A_NODE_42158_length_660_cov_3.346350","Alsuviricetes"
"T1-R-H2O-A_NODE_8_length_6657_cov_9.880504_1","Picornavirales",135.3,"T1-R-H2O-A_NODE_8_length_6657_cov_9.880504","Pisoniviricetes"
"T1-R-H2O-B_NODE_3467_length_1273_cov_2.859401_1","Partitiviridae",143.4,"T1-R-H2O-B_NODE_3467_length_1273_cov_2.859401","Duplopiviricetes"
"T1-R-H2O-B_NODE_36_length_3997_cov_3.401426_1","Tymovirales",413.4,"T1-R-H2O-B_NODE_36_length_3997_cov_3.401426","Alsuviricetes"
"T1-R-H2O-C_NODE_48549_length_635_cov_1.989362_1","Tymovirales",79.4,"T1-R-H2O-C_NODE_48549_length_635_cov_1.989362","Alsuviricetes"
"T1-R-H2O-C_NODE_4900_length_1220_cov_1.836379_1","Tymovirales",91.6,"T1-R-H2O-C_NODE_4900_length_1220_cov_1.836379","Alsuviricetes"
"T1-R-H2O-C_NODE_56953_length_608_cov_1.972067_1","Partitiviridae",70.4,"T1-R-H2O-C_NODE_56953_length_608_cov_1.972067","Duplopiviricetes"
"T1-R-H2O-C_NODE_6371_length_1132_cov_1.260132_1","Durnavirales",86.2,"T1-R-H2O-C_NODE_6371_length_1132_cov_1.260132","Duplopiviricetes"
"T1-R-H2O-C_NODE_79_length_3344_cov_5.293614_1","Tymovirales",412.9,"T1-R-H2O-C_NODE_79_length_3344_cov_5.293614","Alsuviricetes"
"T1-R-H2O-P-A_NODE_1204_length_1645_cov_4.281449_1","Tymovirales",365.6,"T1-R-H2O-P-A_NODE_1204_length_1645_cov_4.281449","Alsuviricetes"
"T1-R-H2O-P-A_NODE_138_length_2884_cov_5.756132_1","Tymovirales",403.4,"T1-R-H2O-P-A_NODE_138_length_2884_cov_5.756132","Alsuviricetes"
"T1-R-H2O-P-A_NODE_17282_length_785_cov_1.623249_1","Tymovirales",91.8,"T1-R-H2O-P-A_NODE_17282_length_785_cov_1.623249","Alsuviricetes"
"T1-R-H2O-P-A_NODE_27462_length_692_cov_1.903382_1","Ghabrivirales",240.9,"T1-R-H2O-P-A_NODE_27462_length_692_cov_1.903382","Chrymotiviricetes"
"T1-R-H2O-P-A_NODE_42872_length_614_cov_1.362799_1","Tymovirales",194.6,"T1-R-H2O-P-A_NODE_42872_length_614_cov_1.362799","Alsuviricetes"
"T1-R-H2O-P-B_NODE_26_length_4068_cov_5.854391_1","Tymovirales",421.3,"T1-R-H2O-P-B_NODE_26_length_4068_cov_5.854391","Alsuviricetes"
"T1-R-H2O-P-C_NODE_10934_length_847_cov_1.949742_1","Tymovirales",178.3,"T1-R-H2O-P-C_NODE_10934_length_847_cov_1.949742","Alsuviricetes"
"T1-R-H2O-P-C_NODE_1226_length_1532_cov_4.973990_1","Tymovirales",101.4,"T1-R-H2O-P-C_NODE_1226_length_1532_cov_4.973990","Alsuviricetes"
"T1-R-H2O-P-C_NODE_12_length_4230_cov_13.581149_1","Tymovirales",84.8,"T1-R-H2O-P-C_NODE_12_length_4230_cov_13.581149","Alsuviricetes"
"T1-R-H2O-P-C_NODE_14877_length_780_cov_3.455571_1","Tymovirales",88.6,"T1-R-H2O-P-C_NODE_14877_length_780_cov_3.455571","Alsuviricetes"
"T1-R-H2O-P-C_NODE_894_length_1670_cov_4.375860_1","Tymovirales",78.6,"T1-R-H2O-P-C_NODE_894_length_1670_cov_4.375860","Alsuviricetes"
"T2-R-H218O-A_NODE_11_length_4208_cov_7.887600_2","Tombusviridae",49.4,"T2-R-H218O-A_NODE_11_length_4208_cov_7.887600","Tolucaviricetes"
