Contig	T0-R-Dry-soil-A_sort TPM	T0-R-Dry-soil-B_sort TPM	T0-R-Dry-soil-C_sort TPM	T1-R-H218O-A_sort TPM	T1-R-H218O-B_sort TPM	T1-R-H218O-C_sort TPM	T1-R-H218O-P-A_sort TPM	T1-R-H218O-P-B_sort TPM	T1-R-H218O-P-C_sort TPM	T1-R-H2O-A_sort TPM	T1-R-H2O-B_sort TPM	T1-R-H2O-C_sort TPM	T1-R-H2O-P-A_sort TPM	T1-R-H2O-P-B_sort TPM	T1-R-H2O-P-C_sort TPM	T2-R-H218O-A_sort TPM	T2-R-H218O-B_sort TPM	T2-R-H218O-C_sort TPM	T2-R-H218O-P-A_sort TPM	T2-R-H218O-P-B_sort TPM	T2-R-H218O-P-C_sort TPM	T2-R-H2O-A_sort TPM	T2-R-H2O-B_sort TPM	T2-R-H2O-C_sort TPM	T2-R-H2O-P-A_sort TPM	T2-R-H2O-P-B_sort TPM	T2-R-H2O-P-C_sort TPM	T3-R-H218O-A_sort TPM	T3-R-H218O-B_sort TPM	T3-R-H218O-C_sort TPM	T3-R-H218O-P-A_sort TPM	T3-R-H218O-P-B_sort TPM	T3-R-H218O-P-C_sort TPM	T3-R-H2O-A_sort TPM	T3-R-H2O-B_sort TPM	T3-R-H2O-C_sort TPM	T3-R-H2O-P-A_sort TPM	T3-R-H2O-P-B_sort TPM	T3-R-H2O-P-C_sort TPM
T0-R-Dry-soil-A_NODE_1_length_9631_cov_21.758159	8014.925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717.47	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_2_length_8200_cov_20.309263	6550.484	2761.2712	949.98035	8705.97	5219.4614	2830.7104	9167.086	2429.4321	21018.201	0	1717.63	0	5618.5796	745.4153	688.9196	9710.521	1865.0868	6358.46	669.98535	5064.96	3535.6711	296.8114	1106.3813	580.45166	293.29105	186.4748	222.26881	2035.1448	2795.819	4552.864	15015.75	4295.4023	578.6973	0	747.2769	1980.677	2281.8267	1210.7925	6424.478
T0-R-Dry-soil-A_NODE_5_length_4628_cov_25.952381	7483.0103	5113.5044	7288.4634	14478.772	16724.121	15671.516	11826.492	11707.082	8506.045	21659.627	28524.367	23507.213	19993.38	17436.906	12956.372	17766.242	15104.546	23418.688	13403.81	8883.46	10435.131	31482.139	31642.445	21951.293	13947.776	13596.607	13612.987	15006.545	22436.31	10532.255	9442.084	9931.783	8093.668	25738.443	35983.625	17138.805	11051.28	9473.11	7309.851
T0-R-Dry-soil-A_NODE_6_length_4351_cov_29.963551	7873.1094	1992.8922	1457.5334	2060.934	2734.9768	2653.3293	1630.0079	2898.3086	1674.997	1547.8098	3376.869	3563.0535	1406.4967	2558.207	6194.762	3501.9038	2299.1116	2468.7095	2084.0198	1370.8213	981.23016	565.73456	798.2451	1613.6748	1481.5795	956.4364	597.58154	3499.2214	4979.7607	4164.8867	1462.687	6534.782	1830.6095	1030.9348	2004.9231	1274.8198	13393.408	1656.292	2320.0935
T0-R-Dry-soil-A_NODE_8_length_3991_cov_168.650255	59795.258	739.7516	750.7123	625.83105	434.30643	0	145.94049	248.9853	0	277.3045	0	353.75024	280.3871	0	0	0	1415.931	2471.9253	0	0	0	388.07724	284.8088	356.16382	195.69041	0	114.967964	0	838.8366	225.97757	0	0	0	308.03958	0	277.96246	0	0	0
T0-R-Dry-soil-A_NODE_12_length_3797_cov_18.981213	6497.351	0	723.3127	576.9287	0	445.41797	261.67722	685.4227	0	0	623.8524	0	0	0	252.82716	1322.7527	1925.2584	0	0	446.91232	0	0	1491.2587	1922.8556	264.45718	0	4175.762	1619.5635	0	1154.4745	565.39105	0	576.3835	437.53827	1490.5413	0	618.9167	470.08112	3916.4404
T0-R-Dry-soil-A_NODE_13_length_3793_cov_64.481193	11092.662	17504.084	2869.973	87996.16	1801.5463	0	0	0	0	14706.955	371.33035	0	8661.714	0	2151.2966	0	3309.357	0	0	0	1262.5347	0	0	493.99667	0	0	248.65948	0	0	0	0	0	0	0	0	0	8143.289	0	0
T0-R-Dry-soil-A_NODE_14_length_3759_cov_25.078362	8948.52	871.9888	830.2554	0	0	0	0	0	0	0	0	476.7017	0	0	216.0933	0	620.51953	0	0	0	0	0	0	0	191.2787	0	0	0	0	0	0	1000.6104	282.70776	0	305.64996	0	0	0	0
T0-R-Dry-soil-A_NODE_15_length_3692_cov_10.814692	3379.9521	8424.779	2373.6648	1009.22656	1679.2898	1181.7285	1257.4362	461.39972	411.56223	1473.2988	2046.1665	1536.95	1311.8308	483.14633	670.0451	7206.914	957.4403	1935.411	1054.6377	354.956	312.17694	2839.1565	11226.009	1575.0334	540.5987	482.31744	296.88812	340.55502	529.55414	585.1325	326.86203	0	216.59116	5408.78	5434.417	1882.6544	405.5457	308.1994	0
T0-R-Dry-soil-A_NODE_16_length_3550_cov_11.920954	4211.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2344.7302	0	0	0	724.11017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_18_length_3503_cov_23.938228	6550.871	3649.948	2893.7434	2811.1497	1979.2362	5065.914	2577.2046	5058.8076	2747.1938	3266.908	4331.4063	2836.718	1796.8928	3096.0195	3341.258	3463.6	2395.7485	3698.021	3151.8982	1808.1843	2697.0388	4452.98	5528.268	3621.285	1539.4299	2182.5483	1087.8955	1983.9001	2974.1196	2586.5583	2396.9783	3430.4932	300.36453	1802.1873	1609.565	2498.8438	577.45026	929.9	8779.487
T0-R-Dry-soil-A_NODE_19_length_3402_cov_13.428700	4706.8184	0	0	0	0	576.3881	0	0	0	0	0	0	0	0	0	547.4053	197.9154	0	0	444.47726	229.03983	772.3271	0	0	0	796.5273	0	0	1826.4287	0	0	0	0	0	0	876.3589	0	0	0
T0-R-Dry-soil-A_NODE_20_length_3361_cov_22.715502	5303.087	2683.659	5073.7153	3398.949	3114.1218	7693.8433	2181.4922	3132.5488	2854.8892	6333.453	6514.4565	6430.13	3412.677	4903.925	5514.7534	6254.421	6052.819	6775.8174	3681.8108	3024.325	6360.9434	9331.6045	13941.134	6036.2896	5300.283	4595.591	2745.5293	10399.808	9697.755	6683.434	7177.2695	6430.0806	1327.3525	5768.446	6722.9336	7307.8438	3082.9922	5260.8296	18580.723
T0-R-Dry-soil-A_NODE_21_length_3306_cov_32.135085	5638.497	2784.5583	3322.9495	3114.9	2077.011	6576.279	2979.4993	3399.3608	3387.5325	2336.2083	3030.625	3120.7292	1914.5446	4338.039	2501.705	4207.686	3825.9463	3988.104	3162.2434	1931.1779	2337.2668	3179.016	4679.7837	4807.7417	1934.8961	2447.2607	967.66907	3305.304	4593.347	3501.989	2616.6587	3982.0122	490.12476	2708.584	3436.697	2736.8792	1526.6504	2254.0686	8569.374
T0-R-Dry-soil-A_NODE_27_length_3184_cov_23.543848	6305.426	3212.5042	10107.735	1826.0986	2083.3135	5257.8374	2496.4524	943.7069	1025.1519	3187.4617	3156.8018	3513.1716	1301.4731	3361.3867	2365.6367	2490.1914	2801.9263	1172.7761	1541.1918	802.06976	1835.4124	2119.4766	4032.72	1724.8633	1148.5762	620.0605	648.4821	1586.7388	1985.1257	1409.6759	1312.5791	991.1	224.71112	1487.0592	2813.274	1018.0203	946.728	1706.2766	1102.2725
T0-R-Dry-soil-A_NODE_36_length_2954_cov_21.128339	6377.672	4784.7275	4885.302	2578.1694	6115.9414	4389.394	1032.2576	1257.4637	2238.5183	3818.2607	3933.5693	5716.826	1308.1017	2407.3535	1024.9299	5349.0522	4542.3403	4619.3887	2744.5752	676.8274	1868.4124	4662.626	6712.4624	4469.2793	612.7074	1140.1069	1100.2355	1137.6094	1758.8966	4444.7007	1982.4078	0	619.7658	5511.528	5726.108	1560.8423	1131.2119	883.6876	2278.2043
T0-R-Dry-soil-A_NODE_49_length_2743_cov_7.346931	2391.4114	2449.2664	3267.7026	776.2229	923.55396	607.63464	786.9067	1638.8318	461.62573	1828.4983	1937.193	2038.9972	1319.4845	2185.012	1278.759	2386.5005	1797.1483	1999.975	1857.0326	1482.2826	757.5103	3861.7551	4289.7056	3054.2983	1649.5972	2074.572	775.97314	2750.2646	2606.9607	1162.2416	1819.9918	1650.129	1304.193	1574.7224	3723.2168	3475.5598	1200.1538	1232.2828	606.7675
T0-R-Dry-soil-A_NODE_51_length_2708_cov_46.506257	11508.057	4635.6333	9819.173	3439.8677	3951.2175	11676.169	3865.191	4962.5635	3730.3462	2565.1575	8617.267	5905.297	4035.4436	4751.465	6817.297	9971.549	8284.932	7184.011	5416.5923	3871.483	4166.2036	11622.659	10610.246	11031.011	4825.0605	4917.525	3492.2988	7428.828	12243.938	6110.9243	6703.263	5814.786	1608.5721	4386.4565	5861.2896	4173.3696	1958.9786	5260.6064	17369.408
T0-R-Dry-soil-A_NODE_52_length_2708_cov_35.216155	6810.2236	2764.2117	6168.102	1406.1875	566.2182	1457.2583	1429.6776	664.0051	904.01154	11556.25	1122.9633	1193.0911	1284.8846	1774.115	920.3351	2167.2742	1891.415	1361.898	827.2611	397.0753	779.2899	1450.279	1049.3646	2425.7095	407.42932	1393.7756	720.1098	2093.5784	4668.1255	294.3157	431.5608	600.3118	656.6392	417.17358	1319.9685	3091.6218	421.08875	271.88727	694.77594
T0-R-Dry-soil-A_NODE_55_length_2686_cov_5.345698	1726.78	467.3602	687.8594	838.42786	2159.3232	428.8955	165.82327	643.0182	565.70654	938.0339	1882.9624	1617.2947	1731.5515	1142.2542	1051.5896	0	635.63586	4445.2583	1112.0492	262.71494	0	2347.6895	1183.3474	6558.9604	447.68912	569.2828	332.16077	995.7864	1675.1448	359.19525	312.1338	0	274.20844	507.18262	1647.6326	696.95667	361.78018	548.2284	0
